phase	user	reply	failed	event	phase'	user'	reply'	failed'
idle	unconfirmed	done	1	cli:text	idle	unconfirmed	done	1
idle	unconfirmed	done	1	cli:tool_start	idle	unconfirmed	done	1
idle	unconfirmed	done	1	cli:tool_end	idle	unconfirmed	done	1
idle	unconfirmed	done	1	cli:approval	idle	unconfirmed	done	1
idle	unconfirmed	done	1	cli:info	idle	unconfirmed	done	1
idle	unconfirmed	done	1	cli:error	idle	unconfirmed	done	1
idle	unconfirmed	done	1	cli:turn_end_ok	idle	unconfirmed	done	1
idle	unconfirmed	done	1	cli:turn_end_fail	idle	unconfirmed	done	1
idle	unconfirmed	done	1	finish:saved	idle	unconfirmed	done	1
idle	unconfirmed	done	1	finish:saved_failed	idle	unconfirmed	done	1
idle	unconfirmed	done	1	finish:unconfirmed	idle	unconfirmed	done	1
idle	unconfirmed	done	1	finish:discarded	idle	unconfirmed	done	1
idle	unconfirmed	stopped	0	submit	sending	sending	absent	0
idle	unconfirmed	stopped	0	delivered	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	cli:thinking	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	cli:text	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	cli:tool_start	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	cli:tool_end	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	cli:approval	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	cli:info	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	cli:error	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	cli:turn_end_ok	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	cli:turn_end_fail	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	finish:saved	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	finish:saved_failed	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	finish:unconfirmed	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	0	finish:discarded	idle	unconfirmed	stopped	0
idle	unconfirmed	stopped	1	submit	sending	sending	absent	0
idle	unconfirmed	stopped	1	delivered	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	cli:thinking	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	cli:text	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	cli:tool_start	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	cli:tool_end	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	cli:approval	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	cli:info	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	cli:error	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	cli:turn_end_ok	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	cli:turn_end_fail	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	finish:saved	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	finish:saved_failed	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	finish:unconfirmed	idle	unconfirmed	stopped	1
idle	unconfirmed	stopped	1	finish:discarded	idle	unconfirmed	stopped	1
idle	unconfirmed	incomplete	0	submit	sending	sending	absent	0
idle	unconfirmed	incomplete	0	delivered	idle	unconfirmed	incomplete	0
idle	unconfirmed	incomplete	0	cli:thinking	idle	unconfirmed	incomplete	0
